OBJECTID,UNIT_NAME,STATEFP,COUNTYFP
473,Jean Lafitte National Historical Park and Preserve,22,057
474,Jean Lafitte National Historical Park and Preserve,22,071
475,Jean Lafitte National Historical Park and Preserve,22,087
476,Jean Lafitte National Historical Park and Preserve,22,097
477,Jefferson National Expansion Memorial,17,163
478,Jefferson National Expansion Memorial,29,510
479,Jewel Cave National Monument,46,033
480,Jimmy Carter National Historic Site,13,261
481,"John D. Rockefeller, Jr., Memorial Parkway",56,039
482,John Day Fossil Beds National Monument,41,023
483,John Day Fossil Beds National Monument,41,069
484,John Fitzgerald Kennedy National Historic Site,25,021
485,John Muir National Historic Site,06,013
486,Johnstown Flood National Memorial,42,021
487,Joshua Tree National Park,06,065
488,Joshua Tree National Park,06,071
489,Kalaupapa National Historical Park,15,005
490,Kalaupapa National Historical Park,15,009
491,Kaloko-Honokohau National Historical Park,15,001
492,Katahdin Woods And Waters National Monument,23,019
493,Katahdin Woods And Waters National Monument,23,021
494,Katmai National Park,02,060
495,Katmai National Park,02,122
496,Katmai National Park,02,150
497,Katmai National Park,02,164
498,Katmai National Preserve,02,122
499,Katmai National Preserve,02,164
500,Kenai Fjords National Park,02,122
501,Kennesaw Mountain National Battlefield Park,13,067
502,Keweenaw National Historical Park,26,061
503,Kings Canyon National Park,06,019
504,Kings Canyon National Park,06,027
505,Kings Canyon National Park,06,107
506,Kings Mountain National Military Park,45,021
507,Kings Mountain National Military Park,45,091
508,Klondike Gold Rush National Historical Park,02,230
509,Knife River Indian Villages National Historic Site,38,057
510,Kobuk Valley National Park,02,188
511,Korean War Veterans Memorial,11,001
512,Lake Chelan National Recreation Area,53,007
513,Lake Chelan National Recreation Area,53,047
514,Lake Clark National Park,02,050
515,Lake Clark National Park,02,122
516,Lake Clark National Park,02,164
517,Lake Clark National Park,02,170
518,Lake Clark National Preserve,02,050
519,Lake Clark National Preserve,02,122
520,Lake Clark National Preserve,02,164
521,Lake Mead National Recreation Area,04,005
522,Lake Mead National Recreation Area,04,015
523,Lake Mead National Recreation Area,32,003
524,Lake Meredith National Recreation Area,48,233
525,Lake Meredith National Recreation Area,48,341
526,Lake Meredith National Recreation Area,48,375
527,Lake Roosevelt National Recreation Area,53,019
528,Lake Roosevelt National Recreation Area,53,025
529,Lake Roosevelt National Recreation Area,53,043
530,Lake Roosevelt National Recreation Area,53,047
531,Lake Roosevelt National Recreation Area,53,065
532,Lassen Volcanic National Park,06,035
533,Lassen Volcanic National Park,06,063
534,Lassen Volcanic National Park,06,089
535,Lassen Volcanic National Park,06,103
536,Lava Beds National Monument,06,049
537,Lava Beds National Monument,06,093
538,Lewis and Clark National Historic Trail,31,131
539,Lewis and Clark National Historical Park,41,007
540,Lewis and Clark National Historical Park,53,049
541,Lincoln Boyhood National Memorial,18,147
542,Lincoln Home National Historic Site,17,167
543,Lincoln Memorial,11,001
544,Little Bighorn Battlefield National Monument,30,003
545,Little River Canyon National Preserve,01,019
546,Little River Canyon National Preserve,01,049
547,Longfellow House-Washington's Headquarters National Historic Site,25,017
548,Lowell National Historical Park,25,017
549,Lower Saint Croix National Scenic Riverway,27,025
550,Lower Saint Croix National Scenic Riverway,27,163
551,Lower Saint Croix National Scenic Riverway,55,095
552,Lower Saint Croix National Scenic Riverway,55,109
553,Lyndon B. Johnson National Historical Park,48,031
554,Lyndon B. Johnson National Historical Park,48,171
555,Lyndon Baines Johnson Memorial Grove on the Potomac,11,001
556,Mammoth Cave National Park,21,009
557,Mammoth Cave National Park,21,061
558,Mammoth Cave National Park,21,099
559,Manassas National Battlefield Park,51,059
560,Manassas National Battlefield Park,51,153
561,Manhattan Project National Historical Park,35,028
562,Manhattan Project National Historical Park,47,001
563,Manhattan Project National Historical Park,47,145
564,Manhattan Project National Historical Park,53,005
565,Manzanar National Historic Site,06,027
566,Marsh-Billings-Rockefeller National Historical Park,50,027
567,"Martin Luther King, Jr., Memorial",11,001
568,"Martin Luther King, Jr., National Historic Site",13,121
569,Martin Van Buren National Historic Site,36,021
570,Mesa Verde National Park,08,083
571,Minidoka National Historic Site,16,053
572,Minidoka National Historic Site,53,035
573,Minute Man National Historical Park,25,017
574,Minuteman Missile National Historic Site,46,071
575,Minuteman Missile National Historic Site,46,103
576,Mississippi National River and Recreation Area,27,003
577,Mississippi National River and Recreation Area,27,037
578,Mississippi National River and Recreation Area,27,053
579,Mississippi National River and Recreation Area,27,123
580,Mississippi National River and Recreation Area,27,141
581,Mississippi National River and Recreation Area,27,163
582,Mississippi National River and Recreation Area,27,171
583,Mississippi National River and Recreation Area,55,093
584,Missouri National Recreation River,31,015
585,Missouri National Recreation River,31,027
586,Missouri National Recreation River,31,051
587,Missouri National Recreation River,31,107
588,Missouri National Recreation River,46,009
589,Missouri National Recreation River,46,023
590,Missouri National Recreation River,46,027
591,Missouri National Recreation River,46,053
592,Missouri National Recreation River,46,127
593,Missouri National Recreation River,46,135
594,Mojave National Preserve,06,071
595,Mojave National Preserve,32,003
596,Monocacy National Battlefield,24,021
597,Montezuma Castle National Monument,04,025
598,Moores Creek National Battlefield,37,141
599,Morristown National Historical Park,34,027
600,Morristown National Historical Park,34,035
601,Mount Rainier National Park,53,041
602,Mount Rainier National Park,53,053
603,Mount Rainier National Park,53,077
604,Mount Rushmore National Memorial,46,103
605,Muir Woods National Monument,06,041
606,Natchez National Historical Park,28,001
607,Natchez Trace Parkway,01,033
608,Natchez Trace Parkway,01,077
609,Natchez Trace Parkway,28,001
610,Natchez Trace Parkway,28,007
611,Natchez Trace Parkway,28,017
612,Natchez Trace Parkway,28,019
613,Natchez Trace Parkway,28,021
614,Natchez Trace Parkway,28,025
615,Natchez Trace Parkway,28,049
616,Natchez Trace Parkway,28,057
617,Natchez Trace Parkway,28,063
618,Natchez Trace Parkway,28,079
619,Natchez Trace Parkway,28,081
620,Natchez Trace Parkway,28,089
621,Natchez Trace Parkway,28,115
622,Natchez Trace Parkway,28,117
623,Natchez Trace Parkway,28,121
624,Natchez Trace Parkway,28,141
625,Natchez Trace Parkway,28,155
626,Natchez Trace Parkway,47,037
627,Natchez Trace Parkway,47,081
628,Natchez Trace Parkway,47,099
629,Natchez Trace Parkway,47,101
630,Natchez Trace Parkway,47,119
631,Natchez Trace Parkway,47,181
632,Natchez Trace Parkway,47,187
633,National Capital Parks,11,001
634,National Capital Parks,24,003
635,National Capital Parks,24,031
636,National Capital Parks,24,033
637,National Mall,11,001
638,National Park of American Samoa,60,010
639,National Park of American Samoa,60,020
640,Natural Bridges National Monument,49,037
641,Navajo National Monument,04,005
642,Navajo National Monument,04,017
643,New Bedford Whaling National Historical Park,25,005
644,New River Gorge National River,54,019
645,New River Gorge National River,54,081
646,New River Gorge National River,54,089
647,Nez Perce National Historical Park,16,035
648,Nez Perce National Historical Park,16,049
649,Nez Perce National Historical Park,16,069
650,Nez Perce National Historical Park,30,005
651,Nez Perce National Historical Park,41,063
652,Nez Perce National Historical Park,53,003
653,Nicodemus National Historic Site,20,065
654,Ninety Six National Historic Site,45,047
655,Niobrara National Scenic River,31,017
656,Niobrara National Scenic River,31,031
657,Niobrara National Scenic River,31,103
658,Niobrara National Scenic River,31,149
659,Noatak National Preserve,02,185
660,Noatak National Preserve,02,188
661,North Cascades National Park,53,007
662,North Cascades National Park,53,047
663,North Cascades National Park,53,057
664,North Cascades National Park,53,073
665,Obed Wild and Scenic River,47,035
666,Obed Wild and Scenic River,47,049
667,Obed Wild and Scenic River,47,129
668,Ocmulgee National Monument,13,021
669,Olympic National Park,53,009
670,Olympic National Park,53,027
671,Olympic National Park,53,031
672,Olympic National Park,53,045
673,Oregon Caves National Monument and Preserve,41,033
674,Organ Pipe Cactus National Monument,04,019
675,Ozark National Scenic Riverway,29,035
676,Ozark National Scenic Riverway,29,065
677,Ozark National Scenic Riverway,29,091
678,Ozark National Scenic Riverway,29,181
679,Ozark National Scenic Riverway,29,203
680,Ozark National Scenic Riverway,29,215
681,Padre Island National Seashore,48,261
682,Padre Island National Seashore,48,273
683,Padre Island National Seashore,48,489
684,Palo Alto Battlefield National Historical Park,48,061
685,Paterson Great Falls National Historical Park,34,031
686,Pea Ridge National Military Park,05,007
687,Pecos National Historical Park,35,047
688,Pecos National Historical Park,35,049
689,Pennsylvania Avenue National Historic Site,11,001
690,Perry's Victory and International Peace Memorial,39,123
691,Petersburg National Battlefield,51,053
692,Petersburg National Battlefield,51,149
693,Petersburg National Battlefield,51,670
694,Petersburg National Battlefield,51,730
695,Petrified Forest National Park,04,001
696,Petrified Forest National Park,04,017
697,Petroglyph National Monument,35,001
698,Pictured Rocks National Lakeshore,26,003
699,Pinnacles National Park,06,053
700,Pinnacles National Park,06,069
701,Pipe Spring National Monument,04,015
702,Pipestone National Monument,27,117
703,Piscataway Park,24,017
704,Piscataway Park,24,033
705,Point Reyes National Seashore,06,041
706,Port Chicago Naval Magazine National Memorial,06,013
707,Poverty Point National Monument,22,035
708,Poverty Point National Monument,22,123
709,Presidio of San Francisco,06,075
710,Prince William Forest Park,51,153
711,Prince William Forest Park,51,179
